seed,scaling,start_idx,gCa0,ECa0,gCa_hat,ECa_hat,chi2,bfgs_ok
29997,normalised,3,3.0,80.0,2.0176729306783305,118.75050760200175,980.9594102426202,true
29997,raw,1,1.0,60.0,2.0176729235083366,118.7505081680345,980.9594102433982,true
29997,raw,2,0.5,200.0,2.0176729234989077,118.7505081689299,980.9594102433452,true
29997,raw,3,3.0,80.0,2.0176729235086426,118.7505081680073,980.9594102431162,true
31108,normalised,1,1.0,60.0,2.018587421614085,117.96561768124701,892.5127812600355,true
31108,normalised,2,0.5,200.0,2.0185874216150905,117.96561768115414,892.5127812588431,true
31108,normalised,3,3.0,80.0,2.0185874216136233,117.96561768128595,892.512781260473,true
31108,raw,1,1.0,60.0,2.0185873981055793,117.96561971938165,892.5127812566677,true
31108,raw,2,0.5,200.0,2.0185873981031808,117.96561971960006,892.5127812575674,true
31108,raw,3,3.0,80.0,2.018587398105242,117.96561971940899,892.5127812572383,true
