gCa_true,seed,gCa,ECa,sse_full,sse_v,chi2
2.0,1111,0.0,78.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,81.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,84.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,87.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,90.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,93.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,96.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,99.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,102.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,105.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,108.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,111.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,114.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,117.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,120.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,123.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,126.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,129.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,132.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,135.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,138.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,141.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,144.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,147.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,150.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,153.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,156.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,159.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,162.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,165.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,168.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,171.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,174.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,177.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,180.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,183.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,186.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,189.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,192.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,195.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,198.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,201.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,204.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,207.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,210.0,17889.363621239783,17886.174813440874,219162.50022470628
2.0,1111,0.0,213.0,17889.363621239783,17886.174813440874,219162.50022470628
